   287.000000       1.39999998    
          37          37
   1.25000000       20.0000000    
   1.25000000       20.0000000    
           4           3
          25          70          15
   IIN     XIN       REL SPACING 
   0.91711  -1.57467   0.91709  -1.62382
   0.92141  -1.58115   0.92139  -1.62885
   0.92561  -1.58746   0.92559  -1.63374
   0.92970  -1.59360   0.92968  -1.63850
   0.93368  -1.59957   0.93366  -1.64311
   0.93755  -1.60538   0.93753  -1.64758
   0.94132  -1.61101   0.94130  -1.65191
   0.94497  -1.61647   0.94495  -1.65610
   0.94852  -1.62175   0.94850  -1.66015
   0.95195  -1.62687   0.95193  -1.66406
   0.95527  -1.63181   0.95525  -1.66784
   0.95848  -1.63658   0.95846  -1.67147
   0.96157  -1.64117   0.96155  -1.67496
   0.96455  -1.64558   0.96453  -1.67832
   0.96741  -1.64982   0.96739  -1.68154
   0.97016  -1.65389   0.97014  -1.68461
   0.97278  -1.65777   0.97276  -1.68755
   0.97529  -1.66148   0.97527  -1.69035
   0.97769  -1.66501   0.97767  -1.69302
   0.97996  -1.66836   0.97994  -1.69554
   0.98211  -1.67153   0.98209  -1.69793
   0.98414  -1.67453   0.98412  -1.70018
   0.98606  -1.67734   0.98604  -1.70229
   0.98785  -1.67997   0.98783  -1.70427
   0.98952  -1.68243   0.98950  -1.70611
   0.99106  -1.68470   0.99104  -1.70781
   0.99249  -1.68679   0.99247  -1.70937
   0.99379  -1.68870   0.99377  -1.71080
   0.99497  -1.69043   0.99495  -1.71210
   0.99603  -1.69198   0.99601  -1.71325
   0.99696  -1.69335   0.99694  -1.71427
   0.99777  -1.69453   0.99775  -1.71516
   0.99845  -1.69553   0.99843  -1.71590
   0.99901  -1.69635   0.99899  -1.71651
   0.99945  -1.69699   0.99943  -1.71699
   0.99976  -1.69745   0.99974  -1.71733
   0.99995  -1.69772   0.99993  -1.71753
   1.00001  -1.69781   0.99999  -1.71760

XIN,   MODIFIED LEADING EDGE THICKNESS     0.00000     0.00000
XIN,   MODIFIED LEADING EDGE THICKNESS     0.00006     0.09653
XIN,   MODIFIED LEADING EDGE THICKNESS     0.00025     0.19214
XIN,   MODIFIED LEADING EDGE THICKNESS     0.00056     0.28594
XIN,   MODIFIED LEADING EDGE THICKNESS     0.00100     0.37704
XIN,   MODIFIED LEADING EDGE THICKNESS     0.00156     0.46456
XIN,   MODIFIED LEADING EDGE THICKNESS     0.00224     0.54766
XIN,   MODIFIED LEADING EDGE THICKNESS     0.00305     0.62551
XIN,   MODIFIED LEADING EDGE THICKNESS     0.00398     0.69735
XIN,   MODIFIED LEADING EDGE THICKNESS     0.00504     0.76246
XIN,   MODIFIED LEADING EDGE THICKNESS     0.00622     0.82022
XIN,   MODIFIED LEADING EDGE THICKNESS     0.00752     0.87008
XIN,   MODIFIED LEADING EDGE THICKNESS     0.00895     0.91166
XIN,   MODIFIED LEADING EDGE THICKNESS     0.01049     0.94477
XIN,   MODIFIED LEADING EDGE THICKNESS     0.01216     0.96944
XIN,   MODIFIED LEADING EDGE THICKNESS     0.01395     0.98609
XIN,   MODIFIED LEADING EDGE THICKNESS     0.01587     0.99557
XIN,   MODIFIED LEADING EDGE THICKNESS     0.01790     0.99942
 XIN,   MODIFIED TRAILING EDGE THICKNESS     0.99105     0.99442
 XIN,   MODIFIED TRAILING EDGE THICKNESS     0.99248     0.96876
 XIN,   MODIFIED TRAILING EDGE THICKNESS     0.99378     0.92571
 XIN,   MODIFIED TRAILING EDGE THICKNESS     0.99496     0.86823
 XIN,   MODIFIED TRAILING EDGE THICKNESS     0.99602     0.79867
 XIN,   MODIFIED TRAILING EDGE THICKNESS     0.99695     0.71900
 XIN,   MODIFIED TRAILING EDGE THICKNESS     0.99776     0.63090
 XIN,   MODIFIED TRAILING EDGE THICKNESS     0.99844     0.53585
 XIN,   MODIFIED TRAILING EDGE THICKNESS     0.99900     0.43519
 XIN,   MODIFIED TRAILING EDGE THICKNESS     0.99944     0.33013
 XIN,   MODIFIED TRAILING EDGE THICKNESS     0.99975     0.22186
 XIN,   MODIFIED TRAILING EDGE THICKNESS     0.99994     0.11149
 XIN,   MODIFIED TRAILING EDGE THICKNESS     1.00000     0.00000

  POINTS NEARLY PERPENDICULAR TO THE CENTRE LINE BEFORE THINNING 
        N        XUPP      YUPP        XLOW        YLOW 
         1     0.00977     0.00426    -0.00443    -0.00194
         2     0.00984     0.00412    -0.00439    -0.00209
         3     0.01008     0.00371    -0.00428    -0.00255
         4     0.01046     0.00303    -0.00409    -0.00332
         5     0.01099     0.00209    -0.00382    -0.00439
         6     0.01168     0.00086    -0.00348    -0.00577
         7     0.01251    -0.00063    -0.00307    -0.00745
         8     0.01349    -0.00241    -0.00257    -0.00944
         9     0.01462    -0.00444    -0.00201    -0.01173
        10     0.01589    -0.00675    -0.00136    -0.01432
        11     0.01730    -0.00934    -0.00065    -0.01721
        12     0.01885    -0.01219     0.00014    -0.02040
        13     0.02053    -0.01530     0.00115    -0.02383
